company_name,ebitda,revenue,employees,industry_multiple,years_in_business,market_position,valuation
TechConsult Pro,450000,1200000,15,4.2,8,2,1890000
Marketing Solutions,320000,950000,12,3.8,5,3,1216000
Legal Advisors LLC,680000,1800000,25,5.1,12,1,3468000
HR Partners,290000,780000,8,3.5,6,3,1015000
Financial Planning Co,520000,1350000,18,4.8,10,2,2496000
Design Studio Inc,180000,520000,7,3.2,4,4,576000
IT Services Group,750000,2100000,35,4.5,15,1,3375000
Accounting Firm ABC,410000,1100000,16,4.0,9,2,1640000
Management Consultants,380000,1050000,14,4.1,7,2,1558000
Business Analytics Co,620000,1650000,22,4.7,11,1,2914000
Strategy Partners,340000,920000,11,3.9,6,3,1326000
Operations Consulting,480000,1280000,17,4.3,9,2,2064000
Training Solutions,220000,640000,9,3.4,5,4,748000
Process Improvement,390000,1080000,13,4.0,8,2,1560000
Risk Management LLC,560000,1480000,20,4.6,13,1,2576000
Quality Assurance Co,300000,850000,10,3.6,7,3,1080000
Project Management,440000,1180000,16,4.2,8,2,1848000
Change Management,280000,760000,9,3.7,5,3,1036000
Innovation Consulting,510000,1320000,19,4.4,10,2,2244000
Digital Transform Co,670000,1750000,28,4.9,14,1,3283000
